"sub_id","predictor","beta_value","standard_error","t_stat","p_value","lower_CI","upper_CI"
20,"AbsValueDiff_2",0.00257507987220448,0.000662228689218736,3.88850545759717,0.000120274646780022,0.00127711164133576,0.0038730481030732
21,"OV_num_2",-0.00127450980392157,0.00032499063179543,-3.92168167088529,0.000105450309633036,-0.00191149144224061,-0.000637528165602524
21,"AbsValueDiff_2",0.00185303514376997,0.000556570282593432,3.32938211349598,0.000961156184445183,0.000762157389886847,0.0029439128976531
22,"OV_num_2",-1.36902849896053e-18,0.000308519975227319,-4.43740635578564e-15,0.999999999999996,-0.000604699151445547,0.000604699151445544
22,"AbsValueDiff_2",0.00195846645367411,0.000528363075727287,3.70666790251818,0.000243342093947041,0.000922874825248632,0.0029940580820996
23,"OV_num_2",0.00033333333333333,0.000432879157609962,0.770037844219041,0.441786681857968,-0.000515109815582196,0.00118177648224886
23,"AbsValueDiff_2",0.00410223642172524,0.000741337292551372,5.53356274255011,6.08269812166127e-08,0.00264921532832456,0.00555525751512593
24,"OV_num_2",7.84313725490224e-05,0.0006208540841669,0.126328189745689,0.89954325901324,-0.0011384426324181,0.00129530537751615
24,"AbsValueDiff_2",0.00197763578274759,0.00106325813505778,1.85997710014241,0.0637110240993676,-0.000106350161965655,0.00406162172746084
25,"OV_num_2",-0.000960784313725497,0.00052930609497213,-1.81517712123849,0.0703356634210931,-0.00199822425987087,7.66556324198778e-05
25,"AbsValueDiff_2",0.00563258785942493,0.000906475492015112,6.21372327110971,1.44224074787927e-09,0.00385589589507531,0.00740927982377455
26,"OV_num_2",0.000117647058823533,0.00042197662247667,0.278799944255294,0.780559783323844,-0.000709427121230741,0.000944721238877806
26,"AbsValueDiff_2",0.00299680511182109,0.000722665901851282,4.14687493092458,4.21547239500804e-05,0.00158037994419257,0.0044132302794496
