role,value_cond3,OV_2,opt_type,n_subjects,mean_prob,sd_prob,median_prob,se_prob,mean_percent,se_percent,median_percent
Final,E=S,1,S,17,0.4477941176470588,0.08774912015647392,0.45,0.021282287703538686,44.77941176470588,2.1282287703538687,45.0
Final,E=S,2,E,17,0.5519607843137254,0.2674391385165184,0.6,0.06486351861928222,55.19607843137254,6.486351861928222,60.0
Final,E=S,2,S,17,0.44803921568627453,0.2674391385165184,0.4,0.06486351861928222,44.80392156862745,6.486351861928222,40.0
Final,E=S,3,E,17,0.5077882901412313,0.21293108318180634,0.5333333333333333,0.05164337334916281,50.778829014123126,5.164337334916281,53.333333333333336
Final,E=S,3,S,17,0.4922117098587687,0.2129310831818063,0.4666666666666667,0.0516433733491628,49.221170985876874,5.16433733491628,46.666666666666664
Final,S>E,1,E,17,0.5142945684020734,0.13741566549147935,0.5166666666666667,0.03332819431975959,51.429456840207344,3.332819431975959,51.66666666666667
Final,S>E,1,S,17,0.48570543159792656,0.13741566549147935,0.48333333333333334,0.03332819431975959,48.570543159792656,3.332819431975959,48.333333333333336
Final,S>E,2,E,17,0.5304370377556062,0.10333526108986298,0.49230769230769234,0.025062482136722575,53.04370377556062,2.5062482136722575,49.23076923076923
Final,S>E,2,S,17,0.46956296224439376,0.10333526108986299,0.5076923076923077,0.025062482136722578,46.95629622443938,2.506248213672258,50.76923076923077
Final,S>E,3,E,17,0.526701928886185,0.1404243011160679,0.5294117647058824,0.03405789564147576,52.670192888618494,3.4057895641475757,52.94117647058824
Final,S>E,3,S,17,0.47329807111381506,0.1404243011160679,0.47058823529411764,0.03405789564147576,47.329807111381506,3.4057895641475757,47.05882352941176
