subject,bin,probE,source,draw
17,4,0.638888888888889,empirical,NaN
17,5,0.652777777777778,empirical,NaN
18,1,0.305555555555556,empirical,NaN
18,2,0.388888888888889,empirical,NaN
18,3,0.416666666666667,empirical,NaN
18,4,0.597222222222222,empirical,NaN
18,5,0.583333333333333,empirical,NaN
19,1,0.708333333333333,empirical,NaN
19,2,0.652777777777778,empirical,NaN
19,3,0.492957746478873,empirical,NaN
19,4,0.444444444444444,empirical,NaN
19,5,0.555555555555556,empirical,NaN
20,1,0.777777777777778,empirical,NaN
20,2,0.666666666666667,empirical,NaN
20,3,0.486111111111111,empirical,NaN
20,4,0.527777777777778,empirical,NaN
20,5,0.527777777777778,empirical,NaN
21,1,0.680555555555556,empirical,NaN
21,2,0.5,empirical,NaN
21,3,0.458333333333333,empirical,NaN
21,4,0.444444444444444,empirical,NaN
21,5,0.527777777777778,empirical,NaN
22,1,0.541666666666667,empirical,NaN
22,2,0.583333333333333,empirical,NaN
22,3,0.375,empirical,NaN
22,4,0.430555555555556,empirical,NaN
22,5,0.402777777777778,empirical,NaN
23,1,0.277777777777778,empirical,NaN
23,2,0.555555555555556,empirical,NaN
23,3,0.597222222222222,empirical,NaN
23,4,0.555555555555556,empirical,NaN
23,5,0.402777777777778,empirical,NaN
24,1,0.555555555555556,empirical,NaN
24,2,0.527777777777778,empirical,NaN
24,3,0.347222222222222,empirical,NaN
24,4,0.416666666666667,empirical,NaN
24,5,0.402777777777778,empirical,NaN
25,1,0.819444444444444,empirical,NaN
25,2,0.541666666666667,empirical,NaN
25,3,0.527777777777778,empirical,NaN
25,4,0.5,empirical,NaN
25,5,0.5,empirical,NaN
26,1,0.625,empirical,NaN
26,2,0.458333333333333,empirical,NaN
26,3,0.486111111111111,empirical,NaN
26,4,0.361111111111111,empirical,NaN
26,5,0.486111111111111,empirical,NaN
2,1,0.416666666666667,simulated,1
2,2,0.611111111111111,simulated,1
2,3,0.5,simulated,1
2,4,0.486111111111111,simulated,1
2,5,0.458333333333333,simulated,1
3,1,0.371428571428571,simulated,1
3,2,0.513888888888889,simulated,1
3,3,0.583333333333333,simulated,1
3,4,0.47887323943662,simulated,1
3,5,0.47887323943662,simulated,1
7,1,0.555555555555556,simulated,1
7,2,0.527777777777778,simulated,1
7,3,0.486111111111111,simulated,1
7,4,0.472222222222222,simulated,1
7,5,0.416666666666667,simulated,1
8,1,0.361111111111111,simulated,1
8,2,0.380281690140845,simulated,1
8,3,0.5,simulated,1
8,4,0.47887323943662,simulated,1
8,5,0.569444444444444,simulated,1
9,1,0.577464788732394,simulated,1
9,2,0.520547945205479,simulated,1
9,3,0.541666666666667,simulated,1
9,4,0.513888888888889,simulated,1
9,5,0.5,simulated,1
10,1,0.222222222222222,simulated,1
10,2,0.380281690140845,simulated,1
10,3,0.402777777777778,simulated,1
10,4,0.472222222222222,simulated,1
10,5,0.527777777777778,simulated,1
11,1,0.633802816901408,simulated,1
11,2,0.458333333333333,simulated,1
11,3,0.541666666666667,simulated,1
11,4,0.436619718309859,simulated,1
11,5,0.575342465753425,simulated,1
12,1,0.569444444444444,simulated,1
12,2,0.444444444444444,simulated,1
